w;100;150;0;650;255;255;255
w;125;50;575;550;255;255;255
w;600;25;0;300;255;255;255
w;25;25;0;225;255;255;255
w;25;50;100;150;255;255;255
w;550;25;100;200;255;255;255
w;50;75;650;150;255;255;255
w;50;25;250;150;255;255;255
w;25;75;325;100;255;255;255
w;50;25;400;150;255;255;255
w;
w;25;500;700;150;255;255;255
w;100;25;800;150;255;255;255
w;250;25;725;275;255;255;255
w;25;125;950;150;255;255;255
w;25;125;1050;200;255;255;255
w;150;25;1050;325;255;255;255
w;25;125;1175;200;255;255;255
w;175;25;1025;575;255;255;255
w;25;100;1025;600;255;255;255
w;100;25;850;575;255;255;255

s;25;125;175;500;255;0;0
s;25;125;350;500;0;255;0
s;25;100;550;550;255;255;0
s;25;325;675;225;0;0;255
s;

g;25;50;125;550;255;0;0
g;25;50;275;575;0;255;0
g;50;100;550;650;255;255;0
g;100;50;575;400;0;0;255
g;100;50;1075;125;255;0;0

k;1100;25;100;775;0;0;0
k;25;25;175;475;0;0;0
k;25;25;350;475;0;0;0
k;525;25;125;175;0;0;0
k;25;25;325;75;0;0;0
k;225;25;725;250;0;0;0
k;100;25;1075;300;0;0;0
k;175;25;1025;550;0;0;0

b;90;100;575;450;255;255;255
b;90;100;800;50;255;255;255
b;90;100;600;650;255;255;255
b;90;100;1075;175;255;255;255

p;125;25;875;750;255;255;255
p;200;25;550;750;255;255;255
p;100;25;1075;275;255;255;255
p;125;25;1025;750;255;255;255

f;50;50;1100;650;255;255;255
