w;550;25;0;775;255;255;255
w;50;125;550;675;255;255;255
w;400;50;0;550;255;255;255
w;50;75;100;475;255;255;255
w;100;225;0;375;255;255;255
w;200;50;350;350;255;255;255
w;50;225;550;275;255;255;255
w;50;100;350;150;255;255;255
w;50;100;350;0;255;255;255
w;100;25;550;125;255;255;255
w;50;100;550;150;255;255;255
w;50;50;750;0;255;255;255
w;25;100;750;50;255;255;255
w;275;50;925;150;255;255;255
w;50;175;925;350;255;255;255
w;200;100;1000;700;255;255;255
w;50;25;1150;525;255;255;255
w;50;25;600;150;255;255;255
s;50;175;550;500;0;255;0
s;50;50;550;250;0;0;255
s;50;50;350;100;0;0;255
s;50;375;0;0;0;0;255
s;25;475;750;325;255;255;0
s;25;475;775;325;255;0;0
s;50;150;925;200;255;0;0
s;25;100;775;50;255;0;0
g;50;175;300;600;0;255;0
g;50;50;300;350;0;0;255
g;100;50;650;125;255;255;0
f;50;50;1150;475;255;255;255
g;50;175;750;150;255;0;0
k;50;25;750;300;0;0;0
k;150;25;600;775;0;0;0
k;200;25;800;775;0;0;0
b;90;100;1100;50;0;0;0
p;125;25;1075;610;255;255;255


